match_id,event_id,event_name,division,round,match_number,scheduled,field,alliance_color,alliance_score,team_id,team_name,result
86218870,58810,"VEX U Robotics Competition, Practice Event: Practice event",Division 1,1,2,2024-10-12T10:35:00-04:00,Field 2,blue,0,174497,FAISL,loss
86218870,58810,"VEX U Robotics Competition, Practice Event: Practice event",Division 1,1,2,2024-10-12T10:35:00-04:00,Field 2,red,11,174788,AUGDC,win
86355416,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,1,6,2024-10-16T04:45:00-04:00,Vision 2030,blue,4,174402,KSUR1,loss
86355416,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,1,6,2024-10-16T04:45:00-04:00,Vision 2030,red,10,174788,AUGDC,win
86218872,58810,"VEX U Robotics Competition, Practice Event: Practice event",Division 1,2,1,2024-10-12T11:44:00-04:00,Field 1,blue,0,174788,AUGDC,tie
86218872,58810,"VEX U Robotics Competition, Practice Event: Practice event",Division 1,2,1,2024-10-12T11:44:00-04:00,Field 1,red,0,174399,PSU1,tie
86355423,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,4,2024-10-16T07:03:00-04:00,Vision 2030,blue,9,174788,AUGDC,loss
86355423,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,4,2024-10-16T07:03:00-04:00,Vision 2030,red,10,174396,JIC7,win
86355434,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,15,2024-10-16T08:09:00-04:00,Saudi Games,blue,13,174442,KSUR2,win
86355434,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,15,2024-10-16T08:09:00-04:00,Saudi Games,red,0,174788,AUGDC,loss
86355443,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,24,2024-10-16T09:03:00-04:00,Vision 2030,blue,13,174413,TVTCR1,win
86355443,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,24,2024-10-16T09:03:00-04:00,Vision 2030,red,3,174788,AUGDC,loss
86355449,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,30,2024-10-16T09:39:00-04:00,Vision 2030,blue,6,174788,AUGDC,loss
86355449,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,30,2024-10-16T09:39:00-04:00,Vision 2030,red,19,174403,UQU1,win
86355454,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,35,2024-10-16T10:09:00-04:00,Saudi Games,blue,12,174410,JZTV1,win
86355454,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,35,2024-10-16T10:09:00-04:00,Saudi Games,red,6,174788,AUGDC,loss
86355468,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,49,2024-10-17T03:48:00-04:00,Saudi Games,blue,3,174788,AUGDC,loss
86355468,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,49,2024-10-17T03:48:00-04:00,Saudi Games,red,29,174397,KFUPM1,win
86355477,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,58,2024-10-17T04:42:00-04:00,Vision 2030,blue,16,176009,PSU2,win
86355477,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,58,2024-10-17T04:42:00-04:00,Vision 2030,red,10,174788,AUGDC,loss
86355482,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,63,2024-10-17T05:12:00-04:00,Saudi Games,blue,27,174399,PSU1,win
86355482,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,63,2024-10-17T05:12:00-04:00,Saudi Games,red,0,174788,AUGDC,loss
86355418,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,1,8,2024-10-16T04:57:00-04:00,Vision 2030,blue,0,174497,FAISL,loss
86355418,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,1,8,2024-10-16T04:57:00-04:00,Vision 2030,red,33,174489,KAUTC2,win
86218874,58810,"VEX U Robotics Competition, Practice Event: Practice event",Division 1,2,3,2024-10-12T12:24:00-04:00,Field 1,blue,0,174497,FAISL,tie
86218874,58810,"VEX U Robotics Competition, Practice Event: Practice event",Division 1,2,3,2024-10-12T12:24:00-04:00,Field 1,red,0,174489,KAUTC2,tie
86355424,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,5,2024-10-16T07:09:00-04:00,Saudi Games,blue,3,174497,FAISL,loss
86355424,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,5,2024-10-16T07:09:00-04:00,Saudi Games,red,33,174489,KAUTC2,win
86355433,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,14,2024-10-16T08:03:00-04:00,Vision 2030,blue,30,174399,PSU1,win
86355433,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,14,2024-10-16T08:03:00-04:00,Vision 2030,red,0,174497,FAISL,loss
86355445,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,26,2024-10-16T09:15:00-04:00,Vision 2030,blue,10,174442,KSUR2,win
86355445,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,26,2024-10-16T09:15:00-04:00,Vision 2030,red,8,174497,FAISL,loss
86355453,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,34,2024-10-16T10:03:00-04:00,Vision 2030,blue,0,174497,FAISL,loss
86355453,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,34,2024-10-16T10:03:00-04:00,Vision 2030,red,23,176009,PSU2,win
86355460,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,41,2024-10-17T03:00:00-04:00,Saudi Games,blue,16,174403,UQU1,win
86355460,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,41,2024-10-17T03:00:00-04:00,Saudi Games,red,12,174497,FAISL,loss
86355470,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,51,2024-10-17T04:00:00-04:00,Saudi Games,blue,7,174497,FAISL,loss
86355470,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,51,2024-10-17T04:00:00-04:00,Saudi Games,red,39,175718,SAUDE8,win
86355479,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,60,2024-10-17T04:54:00-04:00,Vision 2030,blue,15,174444,PNU1,win
86355479,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,60,2024-10-17T04:54:00-04:00,Vision 2030,red,3,174497,FAISL,loss
86355487,58432,"Saudi Games, VEX U Robotics Competition: Adult Division, Saudi Games",Division 1,2,68,2024-10-17T05:42:00-04:00,Vision 2030,blue,3,174497,FAISL,loss
